lr 1e-3

Training Epoch 1 --- Training Accuracy:  18.8%, Validation Accuracy:   0.0%,  Validation Loss: 4.608
Training Epoch 2 --- Training Accuracy:  50.0%, Validation Accuracy:  37.5%,  Validation Loss: 3.112
Training Epoch 3 --- Training Accuracy:  68.8%, Validation Accuracy:  37.5%,  Validation Loss: 2.852
Training Epoch 4 --- Training Accuracy:  62.5%, Validation Accuracy:  56.2%,  Validation Loss: 1.626
Training Epoch 5 --- Training Accuracy:  68.8%, Validation Accuracy:  31.2%,  Validation Loss: 3.433
Training Epoch 6 --- Training Accuracy:  87.5%, Validation Accuracy:  31.2%,  Validation Loss: 4.240
Training Epoch 7 --- Training Accuracy:  93.8%, Validation Accuracy:  43.8%,  Validation Loss: 3.649
Training Epoch 8 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 3.975
Training Epoch 9 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 3.965
Training Epoch 10 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 4.546
Training Epoch 11 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 4.464
Training Epoch 12 --- Training Accuracy: 100.0%, Validation Accuracy:  37.5%,  Validation Loss: 3.227
Training Epoch 13 --- Training Accuracy:  93.8%, Validation Accuracy:  56.2%,  Validation Loss: 4.570
Training Epoch 14 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 7.493
Training Epoch 15 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 3.192
Training Epoch 16 --- Training Accuracy: 100.0%, Validation Accuracy:  37.5%,  Validation Loss: 8.352
Training Epoch 17 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 7.335
Training Epoch 18 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 4.489
Training Epoch 19 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 2.279
Training Epoch 20 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 4.695
Training Epoch 21 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 8.067
Training Epoch 22 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 5.827
Training Epoch 23 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 5.663
Training Epoch 24 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 4.279
Training Epoch 25 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 9.800
Training Epoch 26 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 5.753
Training Epoch 27 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 3.364
Training Epoch 28 --- Training Accuracy: 100.0%, Validation Accuracy:  37.5%,  Validation Loss: 6.457
Training Epoch 29 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 4.433
Training Epoch 30 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 6.691
Training Epoch 31 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 4.930
Training Epoch 32 --- Training Accuracy: 100.0%, Validation Accuracy:  43.8%,  Validation Loss: 5.304
Training Epoch 33 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 4.369
